Selected parameters:
 1 Timeshift
 2 BX, nT (GSE, GSM)
 3 BY, nT (GSE)
 4 BZ, nT (GSE)
 5 Vx Velocity,km/s
 6 Vy Velocity, km/s
 7 Vz Velocity, km/s
 8 Proton Density, n/cc
 9 Proton Temperature, K
10 Flow pressure, nPa
11 AL-index, nT

YYYY DOY HR MN     1       2       3       4       5       6       7      8        9    10    11 
2015  73  2 46 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  2 47 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -9
2015  73  2 48 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -10
2015  73  2 49 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  2 50 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -10
2015  73  2 51 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  2 52 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -16
2015  73  2 53 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -13
2015  73  2 54 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -9
2015  73  2 55 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -10
2015  73  2 56 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -12
2015  73  2 57 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  2 58 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -10
2015  73  2 59 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  3  0   4882   -4.96    4.14   -1.91  -342.4   -27.0    -5.7   9.85   46016.  2.32   -12
2015  73  3  1   4915   -4.70    4.36   -2.07  -342.5   -26.9    -4.0   9.43   49279.  2.23   -12
2015  73  3  2   4907   -4.54    4.46   -2.02  -342.5   -26.9    -4.0   9.43   49279.  2.23   -12
2015  73  3  3   4877   -5.00    3.44   -2.71  -342.5   -26.9    -4.0   9.43   49279.  2.23   -12
2015  73  3  4   4912   -5.00    2.76   -3.13 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -12
2015  73  3  5   4937   -5.14    2.08   -3.60  -342.0   -16.5     1.9   9.73   46723.  2.28   -11
2015  73  3  6   4928   -4.77    1.95   -3.86  -342.4   -16.7     2.0   9.69   46496.  2.28   -11
2015  73  3  7   4935   -4.53    3.32   -3.25  -348.2   -18.9     3.5   9.08   43297.  2.21   -10
2015  73  3  8   4638   -4.80    2.94   -3.29  -344.2   -13.2     4.4   9.75   48359.  2.31   -10
2015  73  3  9   3909   -4.82    2.42   -3.63  -343.9   -18.0     3.7   9.63   42758.  2.29   -10
2015  73  3 10   3099   -4.35    2.83   -4.06  -344.3   -12.4     4.1   9.70   45013.  2.30    -9
2015  73  3 11   3794   -4.69    2.75   -3.61  -343.7   -16.3     3.3   9.49   44858.  2.25    -8
2015  73  3 12   4085   -4.73    2.63   -3.65  -343.5   -21.2     1.2   9.58   45236.  2.27    -7
2015  73  3 13   3670   -4.77    2.04   -4.06  -344.2   -18.1     3.0   9.58   45237.  2.28    -7
2015  73  3 14   3891   -4.54    2.03   -4.29  -344.0   -14.9     5.4   9.42   44587.  2.23    -7
2015  73  3 15   4235   -4.35    2.34   -4.36  -346.9   -17.9     5.5   9.39   43339.  2.27    -8
2015  73  3 16   4491   -4.60    2.35   -4.07  -345.5   -17.6     5.5   9.41   46732.  2.25    -9
2015  73  3 17   3772   -4.20    2.59   -4.36  -344.0   -16.5     9.3   9.20   56539.  2.18    -8
2015  73  3 18   3926   -3.92    2.80   -4.52  -348.8   -13.3     4.9   9.11   55691.  2.22    -9
2015  73  3 19   3759   -4.50    2.08   -4.34  -348.8   -13.3     4.9   9.11   55691.  2.22   -10
2015  73  3 20   4116   -4.56    2.11   -4.29  -348.8   -13.3     4.9   9.11   55691.  2.22    -9
2015  73  3 21   4342   -4.70    1.32   -4.51  -346.4   -19.0     3.9   9.75   45853.  2.35    -8
2015  73  3 22   4705   -4.58    1.40   -4.59  -346.3   -16.1     6.4   9.62   43895.  2.31    -7
2015  73  3 23   4559   -4.62    1.51   -4.48  -346.2   -12.4     9.4   9.45   41437.  2.27    -7
2015  73  3 24   4746   -4.71    1.28   -4.47 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -7
2015  73  3 25   4801   -4.89    1.34   -4.25  -343.0   -17.3     1.9   9.51   45779.  2.24    -9
2015  73  3 26   4512   -4.99    1.74   -4.05  -343.2   -15.1     3.7   9.34   44015.  2.21    -7
2015  73  3 27   5014   -5.05    1.71   -4.07  -344.2   -13.5     4.4   8.77   39640.  2.08    -8
2015  73  3 28   4652   -4.96    1.71   -4.01 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -8
2015  73  3 29   4897   -5.28    2.01   -3.42  -340.6   -15.2    -1.0   9.75   50216.  2.27    -8
2015  73  3 30   4918   -5.06    2.45   -3.36  -342.0   -17.4    -0.6   9.65   46759.  2.26    -8
2015  73  3 31   5235   -5.15    2.86   -2.98  -343.6   -20.0    -0.1   9.54   42807.  2.26    -8
2015  73  3 32   5008   -5.20    2.54   -3.03  -343.7   -20.6     0.5   9.54   45913.  2.26    -8
2015  73  3 33   5345   -5.26    3.00   -2.61  -343.6   -15.9     2.1   9.43   46386.  2.23    -7
2015  73  3 34   5285   -4.90    1.32   -4.32  -344.6   -12.8     5.1   9.26   38450.  2.20    -6
2015  73  3 35   5624   -4.84    1.25   -4.25  -344.6   -12.8     5.1   9.26   38450.  2.20    -9
2015  73  3 36   4172   -4.85    1.71   -4.16 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  3 37   4172   -4.85    1.71   -4.16 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -4
2015  73  3 38   4281   -4.86    1.77   -4.13 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -3
2015  73  3 39   4281   -4.86    1.77   -4.13 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -4
2015  73  3 40   4388   -4.97    1.68   -4.15  -342.3   -13.9     6.5   9.08   43356.  2.13   -10
2015  73  3 41   4388   -4.97    1.68   -4.15  -342.3   -13.9     6.5   9.08   43356.  2.13    -5
2015  73  3 42   4494   -4.95    1.89   -4.06  -342.3   -13.9     6.5   9.08   43356.  2.13    -1
2015  73  3 43   4494   -4.95    1.89   -4.06 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -4
2015  73  3 44   4601   -4.88    2.04   -4.03 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -10
2015  73  3 45   4601   -4.88    2.04   -4.03 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -9
2015  73  3 46 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -6
2015  73  3 47   4710   -4.94    1.44   -4.16 99999.9 99999.9 99999.9 999.99 9999999. 99.99    -7
2015  73  3 48 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  3 49   4820   -4.89    1.05   -4.35 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -11
2015  73  3 50 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -13
2015  73  3 51   4932   -4.98    1.22   -4.24 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -18
2015  73  3 52 999999 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -23
2015  73  3 53   5045   -4.91    1.15   -4.38  -340.8    -8.1    11.3   8.84   45653.  2.06   -23
2015  73  3 54 999999 9999.99 9999.99 9999.99  -340.8    -8.1    11.3   8.84   45653.  2.06   -26
2015  73  3 55   5157   -4.93    1.26   -4.27 99999.9 99999.9 99999.9 999.99 9999999. 99.99   -30
